item_id,grade,skill_map_entry,micro_skill_statement,strand,cognitive_domain,min_tier,evidence_quote,locator,human_verdict(accept|revise|reject),human_score(0-1),human_issue_codes,human_notes
01-01,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Construye programas simples que utilizan estructuras de selección (condicionales) para tomar decisiones basadas en una condición.,computational_thinking,applying,T2,"use sequence, selection, and repetition in programs; work with variables and various forms of input and output",[eng-computing html ¶paragraph-p110-7c8559df04ecea31],,,,
01-02,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Construye programas simples que utilizan estructuras de repetición (bucles) para ejecutar acciones múltiples veces.,computational_thinking,applying,T2,"use sequence, selection, and repetition in programs; work with variables and various forms of input and output",[eng-computing html ¶paragraph-p110-7c8559df04ecea31],,,,
01-03,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.",Explica con razonamiento lógico cómo funcionan algoritmos simples que incluyen estructuras de selección y repetición.,computational_thinking,reasoning,T0,use logical reasoning to predict the behaviour of simple programs,[eng-computing html ¶paragraph-p94-f79248dc0d11c7ae],,,,
01-04,3,"Usar selección (condicionales) y repetición en algoritmos y programas, y explicar con razonamiento lógico cómo funcionan y dónde fallan.","Depura errores en algoritmos y programas simples que utilizan estructuras de selección y repetición, identificando y corrigiendo fallos lógicos.",computational_thinking,applying,T2,"design, write and debug programs that accomplish specific goals, including controlling or simulating physical systems; solve problems by decomposing them into smaller parts",[eng-computing html ¶paragraph-p108-7134c483baff1a53],,,,
02-01,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Ejemplifica máquinas simples a partir de dispositivos del entorno.,technical_systems,knowing,T0,"1 .1 . Ejemplifica máquinas simples, a par tir de dispositivos del entorno.",[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
02-02,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Clasifica las máquinas simples a partir de sus definiciones clásicas.,technical_systems,knowing,T0,"1 . 2. Clasificación de las máquinas simples, a par tir de sus definiciones clásicas. 1 . 2. Clasifica las máquinas simples, a par tir de sus definiciones clásicas.",[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
02-03,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica palancas de diferente clase en dispositivos cotidianos.,technical_systems,knowing,T0,1 . 3. Identificación de palancas de diferente clase en dispositivos cotidianos . 1 . 3. Identifica palancas de diferente clase en dispositivos cotidianos .,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
02-04,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica tipos de máquinas simples dentro de máquinas complejas.,technical_systems,knowing,T0,1 . 5. Identificación de tipos de máquinas simples dentro de máquinas complejas. 1 . 5. Identifica tipos de máquinas simples dentro de máquinas complejas.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
02-05,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Construye una máquina compleja.,design_process,applying,T0,1 .6. Construcción de una máquina compleja. 1 .6. Construye una máquina compleja.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
02-06,4,"Reconocer en aparatos de uso diario qué máquinas simples los componen, armar un mecanismo compuesto y explicar qué forma de energía emplea cada aparato y para qué le sirve.",Identifica las fuentes de energía de objetos tecnológicos de uso diario.,technical_systems,knowing,T0,1 .8. Identificación de las fuentes de energía en objetos tecnológicos de uso diario. 1 .8. Identifica las fuentes de energía de objetos tecnológicos de uso diario.,[sv-cyt p.59 ¶paragraph-p490-aef1c3551bced5ab],,,,
