case_id,grade,system,model,golden_micro_skills,system_micro_skills,decomposition_recall,decomposition_precision,edge_precision,edge_recall,edge_f1,system_edges,golden_edges,cognitive_agreement,tier_agreement,strand_agreement,unmatched_golden,indicators,granularity_golden_per_indicator,note
ct-g3-secuencias-depuracion,3,B0-official-programme,none,8,0,0.0,,,0.0,,0,7,,,,[],0,,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
ct-g5-condicionales,5,B0-official-programme,none,6,0,0.0,,,0.0,,0,5,,,,[],0,,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
dc-g4-datos-personales,4,B0-official-programme,none,3,0,0.0,,,0.0,,0,2,,,,[],0,,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
sv-g2-u5-objetos-tecnicos,2,B0-official-programme,none,8,0,1.0,,,0.0,,0,3,,,,[],8,1.0,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
sv-g3-u1-medidas-fuerzas,3,B0-official-programme,none,2,0,1.0,,,0.0,,0,1,,,,[],2,1.0,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
sv-g4-u1-maquinas-energia,4,B0-official-programme,none,10,0,1.0,,,0.0,,0,8,,,,[],10,1.0,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
sv-g6-u3-electricidad,6,B0-official-programme,none,8,0,1.0,,,0.0,,0,6,,,,[],8,1.0,"The programme states indicators, not prerequisite edges, cognitive domains or tiers."
ct-g3-secuencias-depuracion,3,B1-decomposition-guided-v3,gemini-2.5-flash,8,4,0.75,1.0,1.0,0.42857142857142855,0.6,4,7,0.6666666666666666,1.0,1.0,"[""ct3-comparar-soluciones"", ""ct3-reusar-patron""]",,,""
ct-g5-condicionales,5,B1-decomposition-guided-v3,gemini-2.5-flash,6,4,1.0,1.0,1.0,1.0,1.0,3,5,0.5882352941176471,0.7058823529411765,1.0,[],,,""
dc-g4-datos-personales,4,B1-decomposition-guided-v3,gemini-2.5-flash,3,3,1.0,1.0,1.0,1.0,1.0,2,2,0.4,1.0,1.0,[],,,""
sv-g2-u5-objetos-tecnicos,2,B1-decomposition-guided-v3,gemini-2.5-flash,8,6,0.75,1.0,1.0,1.0,1.0,3,3,1.0,1.0,0.5,"[""g2-construir-refugio"", ""g2-usar-terrario""]",,,""
sv-g3-u1-medidas-fuerzas,3,B1-decomposition-guided-v3,gemini-2.5-flash,2,6,1.0,0.3333333333333333,1.0,1.0,1.0,1,1,0.5,1.0,1.0,[],,,""
sv-g4-u1-maquinas-energia,4,B1-decomposition-guided-v3,gemini-2.5-flash,10,10,1.0,1.0,0.75,0.75,0.75,8,8,0.7,1.0,1.0,[],,,""
sv-g6-u3-electricidad,6,B1-decomposition-guided-v3,gemini-2.5-flash,8,8,0.875,1.0,0.4,0.3333333333333333,0.3636363636363636,5,6,0.625,0.375,1.0,"[""g6-electroiman""]",,,""
ct-g3-secuencias-depuracion,3,B1-decomposition-guided-v3,gemini-3.1-pro-preview,8,4,0.625,1.0,0.75,0.42857142857142855,0.5454545454545454,4,7,0.7142857142857143,1.0,1.0,"[""ct3-comparar-soluciones"", ""ct3-descomponer-recorrido"", ""ct3-reusar-patron""]",,,""
ct-g5-condicionales,5,B1-decomposition-guided-v3,gemini-3.1-pro-preview,6,3,1.0,1.0,1.0,0.8,0.888888888888889,2,5,0.7272727272727273,1.0,1.0,[],,,""
dc-g4-datos-personales,4,B1-decomposition-guided-v3,gemini-3.1-pro-preview,3,2,1.0,1.0,1.0,1.0,1.0,1,2,0.6666666666666666,1.0,1.0,[],,,""
sv-g2-u5-objetos-tecnicos,2,B1-decomposition-guided-v3,gemini-3.1-pro-preview,8,4,1.0,1.0,,0.0,0.0,0,3,0.875,1.0,0.625,[],,,""
sv-g3-u1-medidas-fuerzas,3,B1-decomposition-guided-v3,gemini-3.1-pro-preview,2,2,1.0,0.5,,0.0,0.0,0,1,0.5,1.0,1.0,[],,,""
sv-g4-u1-maquinas-energia,4,B1-decomposition-guided-v3,gemini-3.1-pro-preview,10,5,1.0,1.0,1.0,0.375,0.5454545454545454,3,8,0.5,1.0,1.0,[],,,""
sv-g6-u3-electricidad,6,B1-decomposition-guided-v3,gemini-3.1-pro-preview,8,4,0.875,1.0,0.5,0.3333333333333333,0.4,2,6,0.8571428571428571,1.0,1.0,"[""g6-electroiman""]",,,""
